unique countries,Score_2023,Score_2024,Score_2025,Score_2026,Score_2027,Score_2028
Moldova,5.75600627290264,5.848470757670548,5.848470757670548,5.75600627290264,5.848470757670548,5.75600627290264
Paraguay,5.934115346645119,5.934115346645119,5.934115346645119,5.41206189491516,5.934115346645119,5.934115346645119
Kazakhstan,6.26393215770578,6.26393215770578,5.533039740186159,6.26393215770578,6.26393215770578,5.533039740186159
Slovenia,5.160903245130936,7.052689099569372,5.160903245130936,7.052689099569372,7.052689099569372,7.052689099569372
Lithuania,5.6732828703201035,6.452916690910328,6.452916690910328,6.452916690910328,6.452916690910328,6.452916690910328
Nicaragua,6.5142016904351365,6.5142016904351365,6.5142016904351365,5.689757095016722,6.5142016904351365,6.5142016904351365
Peru,5.894108722663564,5.568661363807631,5.894108722663564,5.568661363807631,5.568661363807631,5.894108722663564
Belarus,5.493489946688131,5.61637051723471,5.61637051723471,5.493489946688131,5.61637051723471,5.61637051723471
Poland,5.864978603597081,6.392451319290183,5.864978603597081,6.392451319290183,6.392451319290183,6.392451319290183
Malaysia,5.320356882021291,6.194178886817569,5.320356882021291,6.194178886817569,6.194178886817569,5.320356882021291
Croatia,5.123967766997763,5.896076358623363,5.896076358623363,5.896076358623363,5.896076358623363,5.896076358623363
Libya,5.089695991919119,5.089695991919119,5.089695991919119,5.089695991919119,5.089695991919119,5.997690213505262
Russia,5.290068005878665,6.103260358202251,5.290068005878665,6.103260358202251,5.290068005878665,6.103260358202251
Jamaica,5.8688008836496985,5.8688008836496985,5.8688008836496985,5.8688008836496985,5.8688008836496985,5.871148262832608
Algeria,4.632665232734672,4.632665232734672,5.956511840455127,4.632665232734672,4.632665232734672,5.956511840455127
Kosovo,5.430394159430963,5.430394159430963,6.369249575260825,6.369249575260825,6.369249575260825,5.430394159430963
Turkmenistan,5.218461121030336,5.820151710843577,5.820151710843577,5.820151710843577,5.820151710843577,5.820151710843577
Mauritius,5.762817742949194,6.019170927426538,6.019170927426538,6.019170927426538,6.019170927426538,5.762817742949194
Estonia,5.152412326384296,6.565149853720239,5.152412326384296,6.565149853720239,6.565149853720239,6.565149853720239
Indonesia,4.999650332999281,5.563177028024813,4.999650332999281,4.999650332999281,4.999650332999281,5.563177028024813
Vietnam,4.978079321439655,4.978079321439655,5.567018386840573,5.567018386840573,5.567018386840573,5.567018386840573
Turkey,6.0141870363845165,4.763837551520181,4.763837551520181,6.0141870363845165,4.763837551520181,4.763837551520181
